Index,Latitude,Longitude,Elevation
1,37.87375253,-122.265767,65.503
2,37.87316547,-122.2647705,50.362
3,37.87214562,-122.2644505,49.541
4,37.87139187,-122.2640259,49.893
5,37.87146316,-122.2653754,35.988
6,37.86962914,-122.2617989,53.628
7,37.87035441,-122.2630804,44.736
8,37.86930641,-122.2603685,48.363
9,37.86889259,-122.2592857,59.743
10,37.87029171,-122.2593898,51.958
11,37.87071187,-122.2597866,53.846
12,37.87173083,-122.2610335,46.078
13,37.87197626,-122.2622746,51.538
14,37.87344474,-122.2627054,52.808
15,37.87419595,-122.262082,64.022
16,37.8733144,-122.2613411,51.736
17,37.87451639,-122.2602248,74.107
18,37.87458929,-122.2587443,77.233
19,37.8748235,-122.2579286,73.715
20,37.87394273,-122.2568989,83.248
21,37.87300748,-122.2594219,61.994
22,37.87250517,-122.257997,68.044
23,37.87247558,-122.2570785,78.298
24,37.87290631,-122.2559972,74.087
25,37.87229328,-122.254525,73.906
26,37.87186016,-122.2541325,88.364
27,37.8717538,-122.2554057,76.343
28,37.8714485,-122.2563271,73.49
29,37.87125484,-122.2579254,56.578
30,37.8699522,-122.2572739,65.415
31,37.86940901,-122.2575833,59.04
32,37.86948188,-122.2546662,75.661
33,37.87039998,-122.2540155,78.188
