Index,Mean,Std
1,17.679166666666667,2.0686608322508766
2,17.6875,2.053769400395283
3,19.795833333333334,3.055899917463848
4,15.116666666666667,2.1901610798193714
5,16.520833333333332,1.764990360376572
6,17.45,2.338446777956114
7,15.620833333333334,1.9270506753989511
8,25.316666666666666,2.5980227524450634
9,18.4375,2.3977528542366495
10,20.3625,2.4347420294560984
11,16.095833333333335,1.428935841417973
12,16.345833333333335,2.040267377630251
13,20.816666666666666,2.063000780955311
14,18.554166666666667,2.62444107806257
15,16.970833333333335,2.2333138991691746
16,17.470833333333335,2.4537775582875385
17,20.016666666666666,2.272052425060263
18,18.625,2.2599317836312376
19,20.670833333333334,1.8822037541728107
20,16.666666666666668,2.1547750591547956
21,19.75,2.0630681035777756
22,22.395833333333332,2.0424105787579103
23,31.325,3.422444301957301
24,22.2625,1.9876834296906207
25,19.554166666666667,2.300403799094604
26,18.879166666666666,2.20486756342013
27,17.1375,1.7274891461308808
28,19.333333333333332,2.306542626722708
29,22.708333333333332,2.7802003325100313
30,17.020833333333332,2.129305279245375
31,15.979166666666666,1.629987005742343
32,16.958333333333332,2.199510677905934
33,13.645833333333334,1.8815395218337092
