Time,Counts,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1712360878.2125666,0,0,0,30.489765625,54960,21.982049786063673,1002.5827833393143,89.19282306628631
1712360879.2233858,0,0,0,30.4337109375,72165,22.216563136477667,1002.6060161505857,88.99773114843927
1712360880.2341714,0,0,0,30.396796875,89267,22.344200762714056,1002.6246014716817,88.84166804147601
1712360881.2450058,3,0,0,30.3753125,106333,22.321028210579108,1002.6396662337897,88.7151691974069
1712360882.2560158,2,0,0,30.36515625,122727,22.168536423942868,1002.6534776260347,88.59919625534745
1712360883.2680972,5,0,0,30.3622265625,138206,22.000485386924392,1002.6789657921784,88.38517795381046
1712360884.2801554,0,0,0,30.3610546875,152027,21.784146125491656,1002.7215165305336,88.02789895112504
1712360885.2922895,0,0,0,30.3614453125,164956,21.568274938787315,1002.720370005089,88.03752563764846
1712360886.3044708,0,0,0,30.36203125,176332,21.34201185846821,1002.7159835425236,88.07435621529088
1712360887.31661,0,0,0,30.36046875,185936,21.099887610965055,1002.7152363219457,88.08063020535309
1712360888.3287177,0,0,0,30.35890625,195235,20.8528619212609,1002.7127113224583,88.10183123098513
1712360889.3407705,0,0,0,30.3606640625,203872,20.644001736711868,1002.7137741705079,88.09290707786708
1712360890.3525333,1,0,0,30.3692578125,213035,20.457300065146207,1002.718772667145,88.0509375412126
1712360891.3641803,0,0,0,30.3753125,218076,20.297401657578412,1002.7285569823222,87.96878469539287
1712360892.3760471,0,0,0,30.3794140625,226873,20.158912150205126,1002.7600746998447,87.7041543186852
1712360893.3873174,0,0,0,30.3868359375,232111,20.042092159194418,1002.7791801291393,87.54374379357411
1712360894.3992124,0,0,0,30.394453125,237936,19.952010873280493,1002.8021571492262,87.35083039806776
1712360895.4113946,0,0,0,30.399140625,244422,19.877774637241917,1002.8168440450404,87.22752216017268
1712360896.4228697,0,0,0,30.39796875,249569,19.819176566946897,1002.8256175073567,87.15386262409054
1712360897.4340234,0,0,0,30.396796875,253188,19.760606319210265,1002.8326130512536,87.09513036775446
1712360898.4449472,0,0,0,30.396015625,259525,19.707402217465777,1002.8402398658354,87.0310985510171
1712360899.4549806,0,0,0,30.397578125,263022,19.6596768557625,1002.8445429548809,86.994971636011
1712360900.4658196,0,0,0,30.39953125,266401,19.638548355846893,1002.8548110329347,86.90876570415716
1712360901.47688,0,0,0,30.4032421875,271191,19.58567046366364,1002.8608084537901,86.85841452295362
1712360902.4887784,0,0,0,30.4067578125,274104,19.52218844824859,1002.8593785798506,86.8704189679972
1712360903.499577,0,0,0,30.411640625,277311,19.490649154124373,1002.8566023369883,86.89372683489734
1712360904.5103648,0,0,0,30.416328125,282025,19.453801331761966,1002.8570661747997,86.8898326942902
1712360905.5211732,0,0,0,30.4200390625,286160,19.41160228179209,1002.850617846446,86.94396963037387
1712360906.532026,0,0,0,30.4219921875,287150,19.364010409235817,1002.8555522434182,86.9025428788046
1712360907.5431554,0,0,0,30.42296875,293760,19.316377507579947,1002.8482406878953,86.96392713439336
