Time,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1707524002.7197099,0,1,33.9024609375,72493,100,690.817393097857,3116.3869722155296
1707524003.730578,0,1,22.6610546875,9539,37.38311504282394,1008.1384570397527,42.64427164694298
1707524004.7414072,0,1,22.6930859375,12159,37.30719335395671,1008.1409213258313,42.62367061142809
1707524005.752231,0,1,22.72765625,14480,37.19202715212255,1008.1389280503478,42.640334070924965
1707524006.7634673,0,1,22.76203125,16460,37.07127388074936,1008.1469348621052,42.573398585936594
1707524007.7756455,0,0,22.7925,18143,36.93894107132316,1008.1485525483617,42.55987507633685
1707524008.7877898,0,0,22.8192578125,19423,36.81760972335739,1008.1509848482362,42.53954160496044
1707524009.7999482,0,0,22.8426953125,20608,36.70729575358694,1008.149708509332,42.5502115017106
1707524010.8121293,1,1,22.8626171875,21496,36.60795912956995,1008.1547314494787,42.50822095206741
1707524011.8244333,1,1,22.878828125,22465,36.52518489282692,1008.1588514133261,42.47377918962231
1707524012.836631,1,1,22.8915234375,23212,36.475831004876824,1008.1606671142534,42.45860046639633
1707524013.8489594,1,1,22.9034375,24035,36.454515224627805,1008.1612053802218,42.45410072620796
1707524014.8612428,1,1,22.913203125,24643,36.42175175459413,1008.1547894947904,42.507735708465816
1707524015.8734214,1,1,22.92140625,25404,36.388841400517876,1008.161310608131,42.453221053042185
1707524016.885575,1,1,22.928046875,25907,36.344550437098405,1008.1635568255447,42.434443379534954
1707524017.8980553,0,0,22.9333203125,26614,36.28890778424751,1008.1687323842557,42.391177459933594
1707524018.9100852,0,0,22.9380078125,27043,36.22200211768883,1008.1626226754369,42.44225257751536
1707524019.922416,0,0,22.9415234375,27760,36.17184146580847,1008.1614828457367,42.45178119944322
1707524020.9346054,1,1,22.945234375,28113,36.138543003567605,1008.1606621293998,42.4586421382682
1707524021.9468055,1,1,22.9481640625,28691,36.09956733587847,1008.1568433223438,42.49056626263948
1707524022.9593163,1,1,22.9481640625,29190,36.04349783687625,1008.1568433223438,42.49056626263948
1707524023.9718976,1,1,22.949921875,29665,36.00443209829757,1008.15799462053,42.480941731913
1707524024.984063,1,1,22.951484375,30113,35.98216736644457,1008.1588267334076,42.47398550660346
1707524025.9962337,1,1,22.953828125,30485,35.96558454547268,1008.1574929113697,42.48513587902885
1707524027.008441,0,0,22.9563671875,30753,35.93221573944817,1008.1616422076139,42.45044898317022
1707524028.0203586,0,0,22.958125,31328,35.909980095852646,1008.1627934691526,42.44082479589889
1707524029.0323431,0,0,22.9571484375,31852,35.89308318656021,1008.1594762591968,42.46855566028101
1707524030.0436726,0,0,22.9565625,32194,35.85382833402622,1008.15679740569,42.49095011320402
1707524031.0544803,1,1,22.955390625,32646,35.81452705421048,1008.1445544193355,42.593298608078186
1707524032.065467,1,1,22.954609375,33058,35.79765984598041,1008.1467203725854,42.57519167356181
